,,,,合計金額,"\55,907,112 ",,,,,,,,,,,,,,\0 ,\0 ,,,,,,
識別コード,識別コード分類,資材分類,資材区分,資材コード,備考,品名,色/他,構成,巾,長さ,t/厚み,単位,単価,棚卸し対象,対象,廃盤フラグ,前月在庫,数量合計の合計,合計金額の合計,合計金額(1%増し),調査日,顧客名,現場名,依頼番号,進捗率,前月差
01-023,01,基材,直接資材,N01000000000023,,LVL 30X14X2430,,LVL,14,2430,30,本,115,1,対象(通常品),0,510,510,58650,59236.5,2026/02/20,,,,100,
01-024,01,基材,直接資材,N01000000000024,,LVL 30X17.7X2430,,LVL,17.7,2430,30,本,127,1,対象(通常品),0,542,0,0,0,2026/02/20,,,,100,
01-026,01,基材,直接資材,N01000000000026,,LVL 30X21.5X2002,,LVL,21.5,2002,30,本,160,1,対象(通常品),0,200,80,12800,12928,2026/02/20,,,,100,
01-029,01,基材,直接資材,N01000000000029,,LVL 30X21X2430,,LVL,21,2430,30,本,170,1,対象(通常品),0,365,0,0,0,2026/02/20,,,,100,
01-032,01,基材,直接資材,N01000000000032,,LVL 30X22X2430,,LVL,22,2430,30,本,190,1,対象(通常品),0,396,396,75240,75992.4,2026/02/20,,,,100,
01-036,01,基材,直接資材,N01000000000036,,LVL 30X24.5X2430 ｼｪﾙﾌ用 3C,,LVL,24.5,2430,30,本,205,1,対象(通常品),0,4,190,38950,39339.5,2026/02/20,,,,100,
01-038,01,基材,直接資材,N01000000000038,,LVL 30X24.5X2995  ｼｪﾙﾌ用 片面3C,,LVL,24.5,2995,30,本,350,1,対象(通常品),0,0,0,0,0,2026/02/20,,,,100,
01-039,01,基材,直接資材,N01000000000039,,LVL 30X25.5X2002 (t29.7),,LVL,25.5,2002,30,本,160,1,対象(通常品),0,1158,1082,173120,174851.2,2026/02/20,,,,100,
01-040,01,基材,直接資材,N01000000000040,,LVL 30X25.5X2430 (t29.7),,LVL,25.5,2430,30,本,200,1,対象(通常品),0,568,568,113600,114736,2026/02/20,,,,100,
