ID: N01000000000023 | Category: 01 | Name: LVL 30X14X2430
ID: N01000000000024 | Category: 01 | Name: LVL 30X17.7X2430
ID: N01000000000026 | Category: 01 | Name: LVL 30X21.5X2002
ID: N01000000000029 | Category: 01 | Name: LVL 30X21X2430
ID: N01000000000032 | Category: 01 | Name: LVL 30X22X2430
ID: N01000000000036 | Category: 01 | Name: LVL 30X24.5X2430 ｼｪﾙﾌ用 3C
ID: N01000000000038 | Category: 01 | Name: LVL 30X24.5X2995  ｼｪﾙﾌ用 片面3C
ID: N01000000000039 | Category: 01 | Name: LVL 30X25.5X2002 (t29.7)
ID: N01000000000040 | Category: 01 | Name: LVL 30X25.5X2430 (t29.7)
ID: N01000000000043 | Category: 01 | Name: LVL 30X26.5X2430
ID: N01000000000045 | Category: 01 | Name: LVL 30X26X2430
ID: N01000000000048 | Category: 01 | Name: LVL 30X27.5X2430
ID: N01000000000051 | Category: 01 | Name: LVL 30x33.5X2430
ID: N01000000000052 | Category: 01 | Name: LVL 35X30X2430
ID: N01000000000053 | Category: 01 | Name: LVL 40x21x2430
ID: N01000000000060 | Category: 01 | Name: LVL/RD貼  30X21.5X2002
ID: N01000000000061 | Category: 01 | Name: LVL/RD貼  30X25.5X2002
ID: N01000000000063 | Category: 01 | Name: LVL/RD貼 ｼｬｸﾘ付 30X27.5X2430
ID: N01000000000068 | Category: 01 | Name: MDF 15X4X6
ID: N01000000000069 | Category: 01 | Name: MDF 2.5X3X7
ID: N01000000000073 | Category: 01 | Name: MDF 4X4'X8'
ID: N01000000000074 | Category: 01 | Name: MDF 5.5X4'X8'
ID: N01000000000078 | Category: 01 | Name: MDF t18X4'X8'
ID: N01000000000079 | Category: 01 | Name: MDF t21X4'X6'
ID: N01000000000083 | Category: 01 | Name: MDF t27㎜X4'X8'
ID: N01000000000086 | Category: 01 | Name: MDF t5.5X4'X6'
ID: N01000000000087 | Category: 01 | Name: MDF t9X4X6
ID: N01000000000088 | Category: 01 | Name: ﾊｲﾍﾞｽﾄｳｯﾄﾞMDF 21X920X3950
ID: N01000000000089 | Category: 01 | Name: PB t12X4'X6'
ID: N01000000000093 | Category: 01 | Name: PB t15X4'X6'
ID: N01000000000095 | Category: 01 | Name: PB t18X4'X6'
ID: N01000000000096 | Category: 01 | Name: PB t20X4'X6'
ID: N01000000000098 | Category: 01 | Name: ﾌｧﾙｶﾀ 15X4X8
ID: N01000000000100 | Category: 01 | Name: ﾌｧﾙｶﾀ ﾗﾝﾊﾞｰｺｱ  t15X3'X6'
ID: N01000000000101 | Category: 01 | Name: ﾌｧﾙｶﾀ ﾗﾝﾊﾞｰｺｱ  t18X4'X8'
ID: N01000000000102 | Category: 01 | Name: ﾌｧﾙｶﾀ合板 t18X3'X6'
ID: N01000000000104 | Category: 01 | Name: 合板 t9X910X1820
ID: N01000000000105 | Category: 01 | Name: 合板 12X910X1820
ID: N01000000000109 | Category: 01 | Name: ﾆｭｰﾀﾞｲｽｺｱ 500X1000X15.6
ID: N01000000000110 | Category: 01 | Name: ﾆｭｰﾀﾞｲｽｺｱ№60E 500X1000X26
ID: N01000000000111 | Category: 01 | Name: ﾆｭｰﾀﾞｲｽｺｱ№60E 500X1000X35
ID: N01000000000112 | Category: 01 | Name: ﾆｭｰﾀﾞｲｽｺｱ№60E 500X1000X45
ID: N01000000000113 | Category: 01 | Name: ﾆｭｰﾀﾞｲｽｺｱ№80E 329X1315X21
ID: N01000000000114 | Category: 01 | Name: ﾆｭｰﾀﾞｲｽｺｱ№80E 329X1315X24.5
ID: N01000000000115 | Category: 01 | Name: ﾆｭｰﾀﾞｲｽｺｱ№80E 500X1000X14.5
ID: N01000000000116 | Category: 01 | Name: ﾆｭｰﾀﾞｲｽｺｱ№80E 329X1315X28
ID: N01000000000125 | Category: 01 | Name: LVL 29.7X21.5X2002
ID: N01000000000127 | Category: 01 | Name: LVL 40x27.5x2430
ID: N01000000000128 | Category: 01 | Name: LVL t30X30X2430
ID: N01000000000137 | Category: 01 | Name: LVL　30X25.5X1960
ID: N01000000000139 | Category: 01 | Name: MDF 2.5X3'X8'
ID: N01000000000142 | Category: 01 | Name: ﾌｧﾙｶﾀ　t12x4'X8'
ID: N01000000000143 | Category: 01 | Name: MDF　18*3'*8'
ID: N01000000000144 | Category: 01 | Name: ﾆｭｰﾀﾞｲｽｺｱ500x1000x35.4
ID: N01000000000145 | Category: 01 | Name: MDF 4x4x8
ID: N01000000000146 | Category: 01 | Name: MDF1240x3900xt21
ID: N01000000000147 | Category: 01 | Name: MDF(WH/SH)5.5X4X6
ID: N01000000000148 | Category: 01 | Name: LVL 14.5x30x2430
ID: N01000000000149 | Category: 01 | Name: LVL 14.5X30X2430
ID: N01000000000150 | Category: 01 | Name: LVL30X44X2430
ID: N02000000000001 | Category: 02 | Name: 片面化粧MDF t2.5X3'X8' BW
ID: N02000000000002 | Category: 02 | Name: 片面化粧MDF t2.5X3'X9' BW
ID: N02000000000004 | Category: 02 | Name: 片面化粧MDF t2.5X3'X8' CS
ID: N02000000000005 | Category: 02 | Name: 片面化粧MDF t2.5X3'X8' GO
ID: N02000000000006 | Category: 02 | Name: 片面化粧MDF t2.5X3'X9' GO
ID: N02000000000007 | Category: 02 | Name: 片面化粧MDF t2.5X3'X8' LO
ID: N02000000000008 | Category: 02 | Name: 片面化粧MDF t2.5X3'X9' LO
ID: N02000000000009 | Category: 02 | Name: 片面化粧MDF t2.5X3'X8' MC
ID: N02000000000010 | Category: 02 | Name: 片面化粧MDF t2.5X3'X9' MC
ID: N02000000000011 | Category: 02 | Name: 片面化粧MDF t2.5X3'X6' MW
ID: N02000000000012 | Category: 02 | Name: 片面化粧MDF t2.5X3X7 MW
ID: N02000000000014 | Category: 02 | Name: 片面化粧MDF 2.5X3X7 NK
ID: N02000000000017 | Category: 02 | Name: 片面化粧MDF 2.5X3X7 RD
ID: N02000000000020 | Category: 02 | Name: 片面化粧MDF t2.5X3'X9' SH
ID: N02000000000021 | Category: 02 | Name: 片面化粧MDFt2.5X3X8 SY
ID: N02000000000022 | Category: 02 | Name: 片面化粧MDF t2.5X3'X8' WH
ID: N02000000000023 | Category: 02 | Name: 片面化粧MDF t2.5X3'X9' WH
ID: N02000000000024 | Category: 02 | Name: 片面化粧MDF t2.5X3'X8' WM
ID: N02000000000025 | Category: 02 | Name: 片面化粧MDF t2.5X3'X9' WM
ID: N02000000000027 | Category: 02 | Name: 片面化粧MDF 2.5X3X7 WW
ID: N02000000000028 | Category: 02 | Name: 片面化粧MDF t2.5X3'X8' LW ﾚｻﾞｰﾎﾜｲﾄ
ID: N02000000000029 | Category: 02 | Name: 片面化粧MDF t2.5X3'X8' MW ﾏｰﾌﾞﾙｳｯﾄﾞ
ID: N02000000000030 | Category: 02 | Name: 片面化粧MDF t2.5X3'X8' NO ﾉﾙﾃｵｰｸ
ID: N02000000000031 | Category: 02 | Name: 片面化粧MDF t2.5X3'X8' BA ﾌﾞﾗｯｸｱｶｼｱ
